season_episode,directed_by,air_date,us_views_millions,imdb_rating,Chandler,Joey,Monica,Phoebe,Rachel,Ross
1_1,James Burrows,9/22/94,21.5,8.3,39,39,73,19,48,47
1_10,Peter Bonerz,12/15/94,19.9,8.1,31,19,23,51,18,29
1_11,James Burrows,1/5/95,26.6,8.2,42,32,41,42,19,62
1_12,Paul Lazarus,1/12/95,24,8.2,33,32,23,42,37,51
1_13,Alan Myerson,1/19/95,25.8,8.7,35,43,18,27,27,12
1_14,James Burrows,2/9/95,23.8,8.3,40,21,21,11,19,22
1_15,Alan Myerson,2/16/95,24.8,8.2,36,32,40,30,33,38
1_16,Michael Lembeck,2/23/95,26.1,8.2,51,26,17,38,22,32
1_17,Michael Lembeck,2/23/95,30.5,8.5,20,26,56,32,53,41
1_18,James Burrows,3/2/95,30.4,8.8,31,25,38,35,66,59
1_19,Peter Bonerz,3/9/95,29.4,8.1,18,17,37,23,57,50
1_2,James Burrows,9/29/94,20.2,8.1,16,8,28,14,38,68
1_20,Peter Bonerz,4/6/95,30,7.9,42,23,31,18,57,20
1_21,Gail Mancuso,4/27/95,28.4,7.9,20,20,51,14,30,29
1_22,Robby Benson,5/4/95,29.9,8.3,57,22,48,42,34,36
1_23,James Burrows,5/11/95,28.7,8.7,21,25,20,19,22,56
1_24,Kevin S. Bright,5/18/95,31.3,8.9,35,41,38,22,53,36
1_3,James Burrows,10/6/94,19.5,8.2,36,28,52,38,26,33
1_4,James Burrows,10/13/94,19.7,8.1,32,24,47,31,43,40
1_5,Pamela Fryman,10/20/94,18.6,8.5,35,36,33,23,37,40
1_6,Arlene Sanford,10/27/94,18.2,8.1,58,31,34,10,15,22
1_7,James Burrows,11/3/94,23.5,9,25,27,23,24,43,53
1_8,James Burrows,11/10/94,21.1,8.1,37,11,34,16,18,61
1_9,James Burrows,11/17/94,23.1,8.2,28,32,48,20,35,36
10_1,Kevin S. Bright,9/25/03,24.54,8.5,40,47,43,47,64,66
10_10,Gary Halvorson,1/15/04,26.68,8,56,31,67,43,46,42
10_11,Kevin S. Bright,2/5/04,24.91,9,54,37,37,28,27,63
10_12,Kevin S. Bright,2/12/04,25.9,8.9,41,43,47,71,28,42
10_13,Gary Halvorson,2/19/04,24.27,8.5,27,44,29,43,64,74
10_14,Gary Halvorson,2/26/04,22.83,8.6,29,39,33,51,49,39
10_15,Gary Halvorson,4/22/04,22.64,8.5,33,29,22,32,32,50
10_16,Gary Halvorson,4/29/04,24.51,8.9,42,29,54,29,43,46
10_17,Kevin S. Bright,5/6/04,52.46,9.7,62,63,50,61,32,69
10_18,Kevin S. Bright,5/6/04,52.46,9.7,21,21,22,24,41,43
10_2,Ben Weiss,10/2/03,22.38,8.8,25,40,23,30,28,44
10_3,Gary Halvorson,10/9/03,21.87,8.8,37,46,44,28,42,33
10_4,Gary Halvorson,10/23/03,18.77,8.3,34,49,37,33,49,46
10_5,Roger Christiansen,10/30/03,19.37,8.2,25,37,29,36,76,37
10_6,Ben Weiss,11/6/03,20.38,8.2,35,39,30,29,42,54
10_7,Kevin S. Bright,11/13/03,20.21,8.3,31,11,26,36,35,40
10_8,Gary Halvorson,11/20/03,20.66,8.9,48,65,54,48,54,55
10_9,David Schwimmer,1/8/04,25.49,8.6,42,53,38,30,22,28
2_1,Michael Lembeck,9/21/95,32.1,8.5,27,22,27,33,46,45
2_10,Thomas Schlamme,1/4/96,32.2,8,34,30,46,36,36,36
2_11,Thomas Schlamme,1/18/96,31.6,8.1,20,18,29,28,36,40
2_12,Michael Lembeck,1/28/96,52.9,8.6,17,36,9,30,13,34
2_13,Michael Lembeck,1/28/96,52.9,8.8,52,28,37,18,38,15
2_14,James Burrows,2/1/96,33.6,9.4,36,21,43,16,29,67
2_15,Michael Lembeck,2/8/96,32.9,8.9,18,18,46,16,52,55
2_16,Michael Lembeck,2/15/96,31.1,8.6,42,46,34,28,28,41
2_17,Michael Lembeck,2/22/96,30.2,8.3,37,38,42,33,18,40
2_18,Michael Lembeck,3/21/96,30.1,8.5,37,17,34,20,31,30
2_19,Michael Lembeck,3/28/96,31.2,8.6,42,59,30,20,25,37
2_2,Michael Lembeck,9/28/95,29.8,8.2,15,25,32,21,35,23
2_20,Michael Lembeck,4/4/96,27.4,8.2,27,25,42,26,47,59
2_21,Michael Lembeck,4/25/96,24.7,8.2,42,33,26,44,35,42
2_22,Michael Lembeck,5/2/96,25.5,9,29,16,39,22,30,31
2_23,Michael Lembeck,5/9/96,26.1,8.1,31,33,38,37,18,15
2_24,Michael Lembeck,5/16/96,29,8.2,25,19,33,23,33,21
2_3,Kevin S. Bright,10/5/95,30.2,8.4,45,24,30,29,28,23
2_4,Gail Mancuso,10/12/95,28.1,8,17,13,16,33,49,45
2_5,Ellen Gittelsohn,10/19/95,28.3,8.3,63,31,38,25,31,56
2_6,Gail Mancuso,11/2/95,30.2,8.6,35,32,26,34,24,31
2_7,Peter Bonerz,11/9/95,30.5,9,25,18,20,23,61,38
2_8,Mary Kay Place,11/16/95,32.9,8.5,21,18,39,19,42,48
2_9,Kevin S. Bright,12/14/95,27.8,8,31,34,32,50,26,37
3_1,Gail Mancuso,9/19/96,26.8,8.4,41,36,30,19,39,49
3_10,Terry Hughes,12/12/96,25.1,8.1,30,24,15,20,32,55
3_11,Terry Hughes,1/9/97,29.8,8.6,52,29,44,18,57,54
3_12,Robby Benson,1/16/97,29.6,8.2,30,26,25,16,40,48
3_13,Robby Benson,1/30/97,28,8.2,25,33,51,25,37,30
3_14,Robby Benson,2/6/97,28.9,7.9,30,22,26,33,24,28
3_15,James Burrows,2/13/97,27.3,8.6,25,21,27,33,46,45
3_16,James Burrows,2/20/97,28.3,9.1,24,20,33,31,54,87
3_17,Sam Simon,3/6/97,25.8,8.3,39,39,37,51,44,53
3_18,Robby Benson,3/13/97,28.1,8.4,23,20,34,42,23,19
3_19,Terry Hughes,3/27/97,23.7,8.2,35,30,19,16,35,38
3_2,Gail Mancuso,9/26/96,26.7,9,42,37,33,29,45,77
3_20,Terry Hughes,4/10/97,24.4,8.1,35,45,23,30,41,22
3_21,Michael Lembeck,4/17/97,23.2,8.7,42,30,55,30,72,70
3_22,Peter Bonerz,4/24/97,22.6,8.3,21,53,31,23,26,38
3_23,Shelley Jensen,5/1/97,24.2,8.1,18,21,36,46,20,34
3_24,Robby Benson,5/8/97,23.1,8.1,27,11,42,35,30,18
3_25,Pamela Fryman,5/15/97,28.8,8.8,30,28,28,48,51,44
3_3,Kevin S. Bright,10/3/96,25.2,8.1,27,37,34,37,31,35
3_4,Steve Zuckerman,10/10/96,26.1,8.1,48,43,27,36,22,22
3_5,Steve Zuckerman,10/17/96,23.3,8.1,41,35,25,55,26,35
3_6,Peter Bonerz,10/31/96,23.3,9.1,42,25,58,42,21,32
3_7,Gail Mancuso,11/7/96,27.4,8.3,12,34,16,31,37,52
3_8,Gail Mancuso,11/14/96,28.7,8.4,44,37,33,23,39,30
3_9,Kevin S. Bright,11/21/96,29.3,9,42,38,66,24,33,61
4_1,Shelley Jensen,9/25/97,29.4,9.1,24,20,29,34,33,44
4_10,Gary Halvorson,12/18/97,23.2,8.1,50,29,36,26,31,19
4_11,David Steinberg,1/8/98,23.7,8.5,27,20,32,39,22,19
4_12,Kevin S. Bright,1/15/98,27.1,9.5,44,41,55,28,51,48
4_13,Dana DeVally Piazza,1/29/98,25.3,8.2,37,35,30,32,49,38
4_14,Peter Bonerz,2/5/98,25.1,8.2,39,35,47,36,64,25
4_15,James Burrows,2/26/98,24.4,8.5,40,26,22,17,26,42
4_16,Michael Lembeck,3/19/98,23.1,8.2,19,36,12,24,76,28
4_17,Michael Lembeck,3/26/98,23.2,8.6,34,29,44,36,22,43
4_18,Gail Mancuso,4/2/98,21.7,8.3,33,24,11,35,39,38
4_19,Kevin S. Bright,4/9/98,21.8,8.7,53,51,30,26,29,44
4_2,Shelley Jensen,10/2/97,25.5,8.1,28,28,40,25,41,34
4_20,Gail Mancuso,4/16/98,21.9,8.5,32,21,46,36,56,41
4_21,Peter Bonerz,4/23/98,21.5,7.2,29,26,17,10,71,70
4_22,Peter Bonerz,4/30/98,23.2,8.5,32,66,33,34,31,40
4_23,Kevin S. Bright,5/7/98,31.6,8.7,32,46,33,57,40,47
4_24,Kevin S. Bright,5/7/98,31.6,9.2,74,52,65,41,79,72
4_3,Peter Bonerz,10/9/97,24,8.5,59,25,38,22,43,4
4_4,Gail Mancuso,10/16/97,24.3,8.2,26,48,26,31,29,19
4_5,Gail Mancuso,10/30/97,24.4,8.4,53,20,31,26,28,29
4_6,Shelley Jensen,11/6/97,25.7,8.5,47,38,33,34,25,28
4_7,Kevin S. Bright,11/13/97,26.4,8.7,86,48,16,22,10,27
4_8,Peter Bonerz,11/20/97,26.8,9.1,44,46,48,24,28,34
4_9,Peter Bonerz,12/11/97,23.9,7.9,24,28,44,36,43,28
5_1,Kevin S. Bright,9/24/98,31.1,8.9,49,22,43,12,45,55
5_10,Dana DeValley Piazza,12/17/98,23.7,8.2,35,52,31,31,30,38
5_11,Joe Regalbuto,1/7/99,27,9.1,18,73,17,32,36,50
5_12,Kevin S. Bright,1/21/99,24.8,8.3,42,31,53,20,38,33
5_13,Gail Mancuso,2/4/99,24.9,8.1,34,43,30,61,24,15
5_14,Michael Lembeck,2/11/99,27.7,9.7,57,29,31,63,48,28
5_15,Kevin S. Bright,2/18/99,29.3,8.5,42,28,34,25,24,47
5_16,Andrew Tsao,2/25/99,26,8.6,29,47,26,38,41,41
5_17,Shelley Jensen,3/18/99,24.5,8.5,30,28,52,24,37,17
5_18,Todd Holland,4/8/99,21.9,8,28,60,26,25,40,43
5_19,Gail Mancuso,4/22/99,20.9,8.7,56,28,39,45,48,52
5_2,Gary Halvorson,10/1/98,25.4,9,29,29,49,24,61,40
5_20,Gary Halvorson,4/29/99,19.6,8.3,43,43,25,11,50,51
5_21,Gary Halvorson,5/6/99,20.9,8.5,39,30,40,56,41,34
