season_episode,speaker,lines
1_1,Chandler Bing,39
1_2,Chandler Bing,16
1_3,Chandler Bing,36
1_4,Chandler Bing,32
1_5,Chandler Bing,35
1_6,Chandler Bing,58
1_7,Chandler Bing,25
1_8,Chandler Bing,37
1_9,Chandler Bing,28
1_10,Chandler Bing,31
1_11,Chandler Bing,42
1_12,Chandler Bing,33
1_13,Chandler Bing,35
1_14,Chandler Bing,40
1_15,Chandler Bing,36
1_16,Chandler Bing,51
1_17,Chandler Bing,20
1_18,Chandler Bing,31
1_19,Chandler Bing,18
1_20,Chandler Bing,42
1_21,Chandler Bing,20
1_22,Chandler Bing,57
1_23,Chandler Bing,21
1_24,Chandler Bing,35
2_1,Chandler Bing,27
2_2,Chandler Bing,15
2_3,Chandler Bing,45
2_4,Chandler Bing,17
2_5,Chandler Bing,63
2_6,Chandler Bing,35
2_7,Chandler Bing,25
2_8,Chandler Bing,21
2_9,Chandler Bing,31
2_10,Chandler Bing,34
2_11,Chandler Bing,20
2_12,Chandler Bing,17
2_13,Chandler Bing,52
2_14,Chandler Bing,36
2_15,Chandler Bing,18
2_16,Chandler Bing,42
2_17,Chandler Bing,37
2_18,Chandler Bing,37
2_19,Chandler Bing,42
2_20,Chandler Bing,27
2_21,Chandler Bing,42
2_22,Chandler Bing,29
2_23,Chandler Bing,31
2_24,Chandler Bing,25
3_1,Chandler Bing,41
3_2,Chandler Bing,42
3_3,Chandler Bing,27
3_4,Chandler Bing,48
3_5,Chandler Bing,41
3_6,Chandler Bing,42
3_7,Chandler Bing,12
3_8,Chandler Bing,44
3_9,Chandler Bing,42
3_10,Chandler Bing,30
3_11,Chandler Bing,52
3_12,Chandler Bing,30
3_13,Chandler Bing,25
3_14,Chandler Bing,30
3_15,Chandler Bing,25
3_16,Chandler Bing,24
3_17,Chandler Bing,39
3_18,Chandler Bing,23
3_19,Chandler Bing,35
3_20,Chandler Bing,35
3_21,Chandler Bing,42
3_22,Chandler Bing,21
3_23,Chandler Bing,18
3_24,Chandler Bing,27
3_25,Chandler Bing,30
4_1,Chandler Bing,24
4_2,Chandler Bing,28
4_3,Chandler Bing,59
4_4,Chandler Bing,26
4_5,Chandler Bing,53
4_6,Chandler Bing,47
4_7,Chandler Bing,86
4_8,Chandler Bing,44
4_9,Chandler Bing,24
4_10,Chandler Bing,50
4_11,Chandler Bing,27
4_12,Chandler Bing,44
4_13,Chandler Bing,37
4_14,Chandler Bing,39
4_15,Chandler Bing,40
4_16,Chandler Bing,19
4_17,Chandler Bing,34
4_18,Chandler Bing,33
4_19,Chandler Bing,53
4_20,Chandler Bing,32
4_21,Chandler Bing,29
4_22,Chandler Bing,32
4_23,Chandler Bing,32
4_24,Chandler Bing,74
5_1,Chandler Bing,49
5_2,Chandler Bing,29
5_3,Chandler Bing,30
5_4,Chandler Bing,31
5_5,Chandler Bing,59
5_6,Chandler Bing,19
5_7,Chandler Bing,47
5_8,Chandler Bing,46
5_9,Chandler Bing,28
5_10,Chandler Bing,35
5_11,Chandler Bing,18
5_12,Chandler Bing,42
5_13,Chandler Bing,34
5_14,Chandler Bing,57
5_15,Chandler Bing,42
5_16,Chandler Bing,29
5_17,Chandler Bing,30
5_18,Chandler Bing,28
5_19,Chandler Bing,56
5_20,Chandler Bing,43
5_21,Chandler Bing,39
5_22,Chandler Bing,49
5_23,Chandler Bing,63
5_24,Chandler Bing,37
6_1,Chandler Bing,54
6_2,Chandler Bing,29
6_3,Chandler Bing,43
6_4,Chandler Bing,31
6_5,Chandler Bing,36
6_6,Chandler Bing,62
6_7,Chandler Bing,47
6_8,Chandler Bing,34
6_9,Chandler Bing,35
6_10,Chandler Bing,37
6_11,Chandler Bing,34
6_12,Chandler Bing,52
6_13,Chandler Bing,31
6_14,Chandler Bing,33
6_15,Chandler Bing,33
6_16,Chandler Bing,45
6_17,Chandler Bing,56
6_18,Chandler Bing,49
6_19,Chandler Bing,47
6_20,Chandler Bing,60
6_21,Chandler Bing,35
6_22,Chandler Bing,19
6_23,Chandler Bing,51
6_24,Chandler Bing,51
6_25,Chandler Bing,33
7_1,Chandler Bing,44
7_2,Chandler Bing,37
7_3,Chandler Bing,40
7_4,Chandler Bing,39
7_5,Chandler Bing,38
7_6,Chandler Bing,37
7_7,Chandler Bing,27
7_8,Chandler Bing,49
7_9,Chandler Bing,33
7_10,Chandler Bing,46
7_11,Chandler Bing,41
7_12,Chandler Bing,25
7_13,Chandler Bing,18
7_14,Chandler Bing,39
7_15,Chandler Bing,20
7_16,Chandler Bing,66
7_17,Chandler Bing,34
7_18,Chandler Bing,9
7_19,Chandler Bing,10
7_20,Chandler Bing,40
7_21,Chandler Bing,64
7_22,Chandler Bing,28
7_23,Chandler Bing,24
7_24,Chandler Bing,38
8_1,Chandler Bing,24
8_2,Chandler Bing,43
8_3,Chandler Bing,22
8_4,Chandler Bing,21
8_5,Chandler Bing,26
8_6,Chandler Bing,32
8_7,Chandler Bing,33
8_8,Chandler Bing,42
8_9,Chandler Bing,16
8_10,Chandler Bing,33
8_11,Chandler Bing,18
8_12,Chandler Bing,25
8_13,Chandler Bing,51
8_14,Chandler Bing,34
8_15,Chandler Bing,29
8_16,Chandler Bing,29
8_17,Chandler Bing,23
8_18,Chandler Bing,12
8_19,Chandler Bing,28
8_20,Chandler Bing,33
8_21,Chandler Bing,37
8_22,Chandler Bing,29
8_23,Chandler Bing,20
8_24,Chandler Bing,16
9_1,Chandler Bing,27
9_2,Chandler Bing,28
9_3,Chandler Bing,39
